domain,L,metric,kind,covar,covar_label,rho,p,n
wolf2,3,storage,temporary,clay_frac,Clay fraction,0.1421149366328996,6.975635213044722e-08,1423
wolf2,3,storage,temporary,mannings,Mannings,0.27314555792134615,4.0118850644528666e-26,1426
wolf2,3,storage,persistent,dist_to_stream,Dist. to stream,-0.3209984492715361,5.3741382229909165e-36,1420
wolf2,3,storage,persistent,HAND,HAND,0.011507187659853453,0.6648804613740066,1420
wolf2,3,storage,persistent,rel_elev,Rel. elevation,0.0321832095479594,0.22555333140052136,1420
wolf2,3,storage,persistent,slope_mag,Slope,0.10126178376933605,0.0001265888045507279,1426
wolf2,3,storage,persistent,baseline_WTD,Baseline WTD,0.4169105011600455,5.969946462800961e-63,1426
wolf2,3,storage,persistent,local_recharge_base,Local recharge (base),-0.36807002059687965,4.4834659856845457e-48,1426
wolf2,3,storage,persistent,PME_static,Static PME,-0.029813685583410222,0.2605952699444759,1426
wolf2,3,storage,persistent,porosity_col,Porosity (col.),0.34889623082327154,6.0042092114047e-43,1426
wolf2,3,storage,persistent,log10_K_col,log₁₀ K (col.),0.27961678847692084,2.3126490323636755e-27,1426
wolf2,3,storage,persistent,log10_K_top,log₁₀ K (top),-0.5798641610518008,9.558859410502655e-138,1426
wolf2,3,storage,persistent,flowbarrier_min,Flow barrier (min),-0.4559102616037012,6.2041200172569826e-77,1426
wolf2,3,storage,persistent,sand_frac,Sand fraction,-0.20468052601371586,5.139354209441532e-15,1423
wolf2,3,storage,persistent,clay_frac,Clay fraction,0.27277039083250065,5.316138094255237e-26,1423
wolf2,3,storage,persistent,mannings,Mannings,-0.07852868848876157,0.002993312207796099,1426
wolf2,3,WTD,temporary,dist_to_stream,Dist. to stream,-0.11206407987285716,2.2730590216021846e-05,1420
wolf2,3,WTD,temporary,HAND,HAND,0.12451630182264187,2.457476581973141e-06,1420
wolf2,3,WTD,temporary,rel_elev,Rel. elevation,-0.10089434638428683,0.00013844013218598835,1420
wolf2,3,WTD,temporary,slope_mag,Slope,-0.28660394611528944,9.696081521950961e-29,1426
wolf2,3,WTD,temporary,baseline_WTD,Baseline WTD,-0.052987965953513655,0.045422403854591724,1426
wolf2,3,WTD,temporary,local_recharge_base,Local recharge (base),0.07973131823909378,0.002577630915842521,1426
wolf2,3,WTD,temporary,PME_static,Static PME,0.057804191682527165,0.029038603038045015,1426
wolf2,3,WTD,temporary,porosity_col,Porosity (col.),-0.10806676892082583,4.2665753914984084e-05,1426
wolf2,3,WTD,temporary,log10_K_col,log₁₀ K (col.),0.29773085671421706,5.089751932380952e-31,1426
wolf2,3,WTD,temporary,log10_K_top,log₁₀ K (top),0.002887589724351914,0.9132596745689492,1426
wolf2,3,WTD,temporary,flowbarrier_min,Flow barrier (min),-0.030306293296731374,0.252795963399425,1426
